,,,,,,
,Facility Committee             ,,,,,
,Chair: President-First and Last Name,,,,,
,Opener & Morning Set-Up,First and Last Name,,,,
,Closer/Lost & Found,First and Last Name,,,,
,Safety Coordinator,First and Last Name,,,,
,Cleaning Crew Liaison,First and Last Name,,,Morning Class Liaisons,
,Programming Committee,,,,AM Class Name (age),Liaison
,Chair: Vice President-First and Last Name,,,,Saplings,First and Last Name
,,,,,Sassafras,First and Last Name
,,,,>   >   >   >   >,Oaks,First and Last Name
,Morning Class Liasons,See chart to the right    >   >   >   >   >   >   >,>  >  >  >  >,,Maples,First and Last Name
,Afternoon Class Liaisons,First and Last Name,,>   >   >   >   >,Birch,First and Last Name
,Finance Committee,,,,Willows,First and Last Name
,Chair: Treasurer-First and Last Name,,,,Cedars,First and Last Name
,Fundraising Coordinator,First and Last Name,,,Pigeons,First and Last Name
,Field Trip Coordinators,First and Last Name,,,,
,Supply Coordinator,First and Last Name,,,,
,Support Committee,,,,,
,Chair: Sustaining Dir.-First and Last Name,,,,,
,Summer Social Events,First and Last Name,,,,
,Parent Social Events,First and Last Name,,`,,
,Special Events Liaison,First and Last Name,,,,
,Gratitude/Encouragement,First and Last Name,,,,
,Administrative Committee,,,,,
,Chair: Secretary-First and Last Name,,,,,
,Archives,not filling for 25/26,,,,
,Admin/Organization,not filling for 25/26,,,,
,Membership Committee,,,,,
,Chair: Membership Dir.-First and Last Name,,,,,
,Welcome Coordinator,First and Last Name,,,,
,Public Communications,not filling for 25/26,,,,
,Communications Committee,,,,,
,Chair: Communications Dir.-First and Last Name,,,,,
,Yearbook Coordinator,First and Last Name,,,,
