,,,,,,,,,,,,,,
,Kitchen Schedule,,,Kitchen Schedule,,,Kitchen Schedule,,,Kitchen Schedule,,,Kitchen Schedule,
,Session 1,Class,,Session 2,Class,,Session 3,Class,,Session 4,Class,,Session 5,Class
,Week 1,,,Week 1,,,Week 1,,,Week 1,,,Week 1,
,10:00-11:00,Oaks,,10:00-11:00,Pigeons,,10:00-11:00,Maples,,10:00-11:00,Willows,,10:00-11:00,Cedars
,11:00-12:00,Oaks,,11:00-12:00,Pigeons,,11:00-12:00,Maples,,11:00-12:00,Willlows,,11:00-12:00,Cedars
,1:00-1:55,Cake Pops,,1:00-1:55,,,1:00-1:55,Candle making,,1:00-1:55,LeAnn,,1:00-1:55,
,2:00-2:55,Acids & Bases,,2:00-2:55,,,2:00-2:55,Culinary Cooporation,,2:00-2:55,,,2:00-2:55,
,Week 2,,,Week 2,,,Week 2,,,Week 2,,,Week 2,
,10:00-11:00,Oaks,,10:00-11:00,Pigeons,,10:00-11:00,Maples,,10:00-11:00,Willows,,10:00-11:00,Cedars
,11:00-12:00,Oaks,,11:00-12:00,Pigeons ,,11:00-12:00,Maples,,11:00-12:00,Willows,,11:00-12:00,Cedars
,1:00-1:55,Cake Pops,,1:00-1:55,,,1:00-1:55,Candle making,,1:00-1:55,LeAnn,,1:00-1:55,
,2:00-2:55,Acids & Bases,,2:00-2:55,,,2:00-2:55,Culinary Cooporation,,2:00-2:55,,,2:00-2:55,
,Week 3,,,Week 3,,,Week 3,,,Week 3,,,Week 3,
,10:00-11:00,Oaks,,10:00-11:00,Pigeons,,10:00-11:00,Maples,,10:00-11:00,Willows,,10:00-11:00,Cedars
,11:00-12:00,Oaks,,11:00-12:00,Pigeons,,11:00-12:00,Maples,,11:00-12:00,Willows,,11:00-12:00,Cedars
,1:00-1:55,Cake Pops,,1:00-1:55,,,1:00-1:55,Candle making,,1:00-1:55,LeAnn,,1:00-1:55,
,2:00-2:55,Acids & Bases,,2:00-2:55,,,2:00-2:55,Culinary Cooporation,,2:00-2:55,,,2:00-2:55,
,Week 4,,,Week 4,,,Week 4,,,Week 4,,,Week 4,
,10:00-11:00,Oaks,,10:00-11:00,Pigeons,,10:00-11:00,Maples,,10:00-11:00,Willows,,10:00-11:00,Cedars
,11:00-12:00,Oaks,,11:00-12:00,Pigeons,,11:00-12:00,Maples,,11:00-12:00,Willows,,11:00-12:00,Cedars
,1:00-1:55,Cake Pops,,1:00-1:55,,,1:00-1:55,Candle making,,1:00-1:55,LeAnn,,1:00-1:55,
,2:00-2:55,Acids & Bases,,2:00-2:55,,,2:00-2:55,Culinary Cooporation,,2:00-2:55,,,2:00-2:55,
,Week 5,,,Week 5,,,Week 5,,,Week 5,,,Week 5,
,10:00-11:00,Oaks,,10:00-11:00,Pigeons,,10:00-11:00,Maples,,10:00-11:00,Willows,,10:00-11:00,Cedars
,11:00-12:00,Oaks,,11:00-12:00,Pigeons,,11:00-12:00,Maples,,11:00-12:00,Willows,,11:00-12:00,Cedars
,1:00-1:55,Cake Pops,,1:00-1:55,,,1:00-1:55,Candle making,,1:00-1:55,LeAnn,,1:00-1:55,
,2:00-2:55,Acids & Bases,,2:00-2:55,,,2:00-2:55,Culinary Cooporation,,2:00-2:55,,,2:00-2:55,
