,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,HOUR ONE 1:00 TO 1:55,,,,,,,,,,,,,HOUR TWO 2:00 to 2:55,,,,,,,,,
,,,,,Age of student,,3-6,3-7,7-11,7-11,7-11,10+,11+,12+,10+,,,Age of student,,3-10,3-12,5+,7-11,9+,10+,12+,10+
,,,,,Title of Class,,Cooking,Puppet Fun,Pirates,What’s beneath our feet??,Collage,Mythbusters,Board Games Club,Improv,Upcycled Sewing Studio (This is a 2hr Class. You can sign up for one or both hours),,,Title of Class,,Indoor Outdoor Games,Musical Art,Bingo,Pet Science,Join the Quest: Percy Jackson Adventure Club,Beginner Ukelele,D&D Club,Upcycled Sewing Studio (This is a 2hr Class. You can sign up for one or both hours)
,,,,,Class Description,,"We are going to be cracking some eggs, whisking cream and getting down in the kitchen with our littlest cooks learning how to make Dutch babies, fruit galettes and more!!",In this class we will read and learn about different types of puppets and a bit about the history of puppets/puppeteers. We will make our own puppets in a few different styles and even put on a short puppet show if you wish! ,"Building a cardboard boat, making pirate names and decor, learning pirate songs, learn knots ",What’s beneath our feet? Worm investigations! Model of the Earth’s layers! Let’s do some core samples to find out where the best place to build a house! What does trash tell us about a civilization? How do archaeologists study trash?,"Snip it, rip it, stick it! Let’s turn my ART life chaos into AWESOME. 🎨✂️😄","Questions, experiments... Chaos?",Bring in your favorite board games to play with friends or borrow some of ours!,"Come work on your improv skills! Whether you’re an experienced improver or brand new  to the form, you’re welcome to join the fun. Yes, let’s! ","This is an open ended sewing studio. haberdashery, sewing machine safety, and basic sewing by hand will be provided. {Please bring old or retired clothes, fabric, bits and bobs that they want to add to their upcycled creation}",,,Class Description,,We will play games and hang out. If the weather is pleasant we will move outside!,"Do you like pop, rock, jazz, broadway hits, classical, techno, …? Each week we will have a different style of music playing as we create our own art. Let the music inspire you and get your creative juices flowing. A variety of art supplies and mediums will be available to you each week and music requests will be taken! ",All ages welcome as long as you know your letters! Let's play bingo and win prizes!,"Want to know if you, your cat, or your dog has the cleanest mouth? What about if Crazy Cat ladies are a real thing? Have you heard of Pavlov's dogs and pet training? Would it work on your siblings?","Calling all demigods! Are you ready to live your own hero’s journey? Each week, we’ll step into the world of Percy Jackson for epic role-playing quests, ""pretend"" combat training with safe swords and archery, and themed snacks. Expect plenty of ""blue"" treats, high-stakes games, and a chance to hang out with fellow fans of the series. If you’ve ever wanted to attend Camp Half-Blood, this is your chance!",In this class students will learn 2-3 simple chords that can be used to play dozens of songs! They will learn how to properly hold and care for a ukulele. Bring your singing voice because we will be singing along to all the new fun songs we learn! ,This is a student led D&D club.,"This is an open ended sewing studio. haberdashery, sewing machine safety, and basic sewing by hand will be provided. {Please bring old or retired clothes, fabric, bits and bobs that they want to add to their upcycled creation}"
,,,,,Room/Location,,Kitchen,Trust,Faithfulness,MPR,Patience,Goodness,MYF,JYF,Kitchen Annex,,,Room/Location,,Faithfulness,Patience,Trust,Goodness,MPR,MYF,JYF,Kitchen Annex
,,,,,Class Leader,,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,,Class Leader,,,,,,,,,
,,,,,Student Names,Floaters,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,,Student Names,Floaters,,,,,,,,
,,,,,|,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,,|,,,,,,,,,
,,,,,|,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,,|,,,,,,,,,
,,,,,|,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,First and Last Name,,,|,,,,,,,,,
